Query,dist_freq,dist_time,tol_freq,tol_time,Hit,F-measure,Time (s)
903604_cut.wav,15,4,0,0,1,0.8489208633093526,5.907554864883423
1009604_cut.wav,15,4,0,0,1,0.8279569892473119,6.106181859970093
1247404_cut.wav,15,4,0,0,1,0.6564885496183206,6.030761957168579
1415804_cut.wav,15,4,0,0,1,0.6031746031746033,5.873315095901489
1299504_cut.wav,15,4,0,0,1,0.8571428571428572,6.278938055038452
1092304_cut.wav,15,4,0,0,1,0.8493150684931507,5.8530051708221436
1132204_cut.wav,15,4,0,0,1,0.994535519125683,5.902692794799805
1121404_cut.wav,15,4,0,0,1,1.0,5.866905212402344
1165404_cut.wav,15,4,0,0,1,0.7612903225806452,5.882411003112793
1042004_cut.wav,15,4,0,0,1,0.8695652173913043,5.8466761112213135
1270604_cut.wav,15,4,0,0,1,0.8421052631578948,5.847315073013306
863504_cut.wav,15,4,0,0,1,0.7794871794871795,5.878785610198975
390004_cut.wav,15,4,0,0,1,0.8429752066115703,5.884350776672363
1319504_cut.wav,15,4,0,0,1,0.832116788321168,5.848828077316284
1227104_cut.wav,15,4,0,0,1,0.8363636363636364,5.846665143966675
1281204_cut.wav,15,4,0,0,1,0.7912087912087913,6.0323100090026855
3904_cut.wav,15,4,0,0,1,0.7407407407407406,6.001891136169434
1110504_cut.wav,15,4,0,0,1,0.9411764705882352,5.874051809310913
1300204_cut.wav,15,4,0,0,1,0.9299363057324842,5.8968400955200195
1330504_cut.wav,15,4,0,0,1,0.7755102040816326,5.850385904312134
