Query,Original Query name,dist_freq,dist_time,tol_freq,tol_time,Hit,TP,Time (s)
903604_cut.wav,903604,15,4,1,1,1,59.0,0.5516500473022461
1009604_cut.wav,1009604,15,4,1,1,1,77.0,0.5469779968261719
1247404_cut.wav,1247404,15,4,1,1,1,43.0,0.552048921585083
1415804_cut.wav,1415804,15,4,1,1,1,38.0,0.5465998649597168
1299504_cut.wav,1299504,15,4,1,1,1,54.0,0.5479738712310791
1092304_cut.wav,1092304,15,4,1,1,1,62.0,0.5478699207305908
1132204_cut.wav,1132204,15,4,1,1,1,91.0,0.5481629371643066
1121404_cut.wav,1121404,15,4,1,1,1,70.0,0.5460410118103027
1165404_cut.wav,1165404,15,4,1,1,1,59.0,0.5505921840667725
1042004_cut.wav,1042004,15,4,1,1,1,60.0,0.5493519306182861
1270604_cut.wav,1270604,15,4,1,1,1,56.0,0.5499939918518066
863504_cut.wav,863504,15,4,1,1,1,76.0,0.5472841262817383
390004_cut.wav,390004,15,4,1,1,1,51.0,0.5450749397277832
1319504_cut.wav,1319504,15,4,1,1,1,57.0,0.5460178852081299
1227104_cut.wav,1227104,15,4,1,1,1,23.0,0.544666051864624
1281204_cut.wav,1281204,15,4,1,1,1,72.0,0.5477650165557861
3904_cut.wav,3904,15,4,1,1,1,70.0,0.5473411083221436
1110504_cut.wav,1110504,15,4,1,1,1,80.0,0.5501692295074463
1300204_cut.wav,1300204,15,4,1,1,1,73.0,0.5474610328674316
1330504_cut.wav,1330504,15,4,1,1,1,76.0,0.5463261604309082
