Query,Original Query name,dist_freq,dist_time,tol_freq,tol_time,Hit,TP,Time (s)
903604_cut_noise.wav,903604,17,5,0,0,1,27.0,0.5014550685882568
1227104_cut_noise.wav,1227104,17,5,0,0,1,7.0,0.47779035568237305
863504_cut_noise.wav,863504,17,5,0,0,1,27.0,0.4725620746612549
1110504_cut_noise.wav,1110504,17,5,0,0,1,46.0,0.47622132301330566
1299504_cut_noise.wav,1299504,17,5,0,0,1,16.0,0.4745669364929199
1319504_cut_noise.wav,1319504,17,5,0,0,1,26.0,0.4752969741821289
1121404_cut_noise.wav,1121404,17,5,0,0,1,36.0,0.47301578521728516
1165404_cut_noise.wav,1165404,17,5,0,0,1,30.0,0.47623205184936523
1281204_cut_noise.wav,1281204,17,5,0,0,1,30.0,0.4742600917816162
1247404_cut_noise.wav,1247404,17,5,0,0,1,29.0,0.47112393379211426
3904_cut_noise.wav,3904,17,5,0,0,1,28.0,0.47566890716552734
1330504_cut_noise.wav,1330504,17,5,0,0,1,27.0,0.47866392135620117
1042004_cut_noise.wav,1042004,17,5,0,0,1,37.0,0.4755558967590332
1092304_cut_noise.wav,1092304,17,5,0,0,1,32.0,0.4948761463165283
1009604_cut_noise.wav,1009604,17,5,0,0,1,34.0,0.5064272880554199
1415804_cut_noise.wav,1415804,17,5,0,0,1,13.0,0.4755849838256836
1270604_cut_noise.wav,1270604,17,5,0,0,1,21.0,0.47939109802246094
1132204_cut_noise.wav,1132204,17,5,0,0,1,63.0,0.480792760848999
1300204_cut_noise.wav,1300204,17,5,0,0,1,46.0,0.4918947219848633
390004_cut_noise.wav,390004,17,5,0,0,1,11.0,0.4973940849304199
