Query,dist_freq,dist_time,tol_freq,tol_time,Hit,F-measure,Time (s)
390004_cut_mobile.wav,11,3,1,1,0,0.1773049645390071,43.74634003639221
1300204_cut_mobile.wav,11,3,1,1,1,0.3720930232558139,43.75965905189514
1110504_cut_mobile.wav,11,3,1,1,1,0.3698630136986301,42.3349130153656
903604_cut_mobile.wav,11,3,1,1,1,0.33064516129032256,42.416667222976685
1121404_cut_mobile.wav,11,3,1,1,0,0.17508417508417506,43.02929902076721
1227104_cut_mobile.wav,11,3,1,1,0,0.19727891156462585,43.7157940864563
1247404_cut_mobile.wav,11,3,1,1,0,0.17167381974248927,41.71713924407959
1281204_cut_mobile.wav,11,3,1,1,1,0.6040268456375839,41.70665001869202
1042004_cut_mobile.wav,11,3,1,1,1,0.19727891156462585,42.272501945495605
1132204_cut_mobile.wav,11,3,1,1,1,0.41666666666666663,42.93258213996887
3904_cut_mobile.wav,11,3,1,1,1,0.375,42.22769594192505
863504_cut_mobile.wav,11,3,1,1,1,0.24852071005917156,60.38897514343262
1415804_cut_mobile.wav,11,3,1,1,1,0.18248175182481752,48.26675987243652
1270604_cut_mobile.wav,11,3,1,1,1,0.3032786885245902,45.81791710853577
1299504_cut_mobile.wav,11,3,1,1,1,0.32047477744807124,49.520466327667236
1092304_cut_mobile.wav,11,3,1,1,1,0.2681992337164751,45.35479497909546
1330504_cut_mobile.wav,11,3,1,1,1,0.43181818181818177,46.70179295539856
1009604_cut_mobile.wav,11,3,1,1,1,0.3541666666666667,46.03764820098877
1165404_cut_mobile.wav,11,3,1,1,1,0.27388535031847133,47.61512494087219
1319504_cut_mobile.wav,11,3,1,1,1,0.30434782608695654,46.426985025405884
