Query,Original Query name,dist_freq,dist_time,tol_freq,tol_time,Hit,TP,Time (s)
390004_cut_mobile.wav,1183604,8,2,1,1,0,18.0,0.46512889862060547
1300204_cut_mobile.wav,1300204,8,2,1,1,1,43.0,0.491513729095459
1110504_cut_mobile.wav,1110504,8,2,1,1,1,49.0,0.4646921157836914
903604_cut_mobile.wav,903604,8,2,1,1,1,26.0,0.4717381000518799
1121404_cut_mobile.wav,25804,8,2,1,1,0,13.0,0.4708740711212158
1227104_cut_mobile.wav,1227104,8,2,1,1,1,18.0,0.4986908435821533
1247404_cut_mobile.wav,1247404,8,2,1,1,1,19.0,0.47722291946411133
1281204_cut_mobile.wav,1281204,8,2,1,1,1,88.0,0.4766690731048584
1042004_cut_mobile.wav,1042004,8,2,1,1,1,34.0,0.49122023582458496
1132204_cut_mobile.wav,1132204,8,2,1,1,1,68.0,0.49495506286621094
3904_cut_mobile.wav,3904,8,2,1,1,1,59.0,0.4676978588104248
863504_cut_mobile.wav,863504,8,2,1,1,1,23.0,0.48650288581848145
1415804_cut_mobile.wav,133704,8,2,1,1,0,15.0,0.4897639751434326
1270604_cut_mobile.wav,1270604,8,2,1,1,1,36.0,0.4802670478820801
1299504_cut_mobile.wav,1299504,8,2,1,1,1,36.0,0.46334099769592285
1092304_cut_mobile.wav,1092304,8,2,1,1,1,58.0,0.47995781898498535
1330504_cut_mobile.wav,1330504,8,2,1,1,1,62.0,0.4595298767089844
1009604_cut_mobile.wav,1009604,8,2,1,1,1,67.0,0.46303796768188477
1165404_cut_mobile.wav,1165404,8,2,1,1,1,34.0,0.4817690849304199
1319504_cut_mobile.wav,1319504,8,2,1,1,1,33.0,0.47762322425842285
