Query,Original Query name,dist_freq,dist_time,tol_freq,tol_time,Hit,TP,Time (s)
903604_cut.wav,903604,8,2,1,1,1,176.0,0.554534912109375
1009604_cut.wav,1009604,8,2,1,1,1,244.0,0.5473201274871826
1247404_cut.wav,1247404,8,2,1,1,1,130.0,0.5529217720031738
1415804_cut.wav,1415804,8,2,1,1,1,144.0,0.5483248233795166
1299504_cut.wav,1299504,8,2,1,1,1,231.0,0.5478839874267578
1092304_cut.wav,1092304,8,2,1,1,1,233.0,0.5477869510650635
1132204_cut.wav,1132204,8,2,1,1,1,248.0,0.5521302223205566
1121404_cut.wav,1121404,8,2,1,1,1,147.0,0.5499300956726074
1165404_cut.wav,1165404,8,2,1,1,1,182.0,0.5502068996429443
1042004_cut.wav,1042004,8,2,1,1,1,241.0,0.5490498542785645
1270604_cut.wav,1270604,8,2,1,1,1,167.0,0.5510871410369873
863504_cut.wav,863504,8,2,1,1,1,189.0,0.5501818656921387
390004_cut.wav,390004,8,2,1,1,1,148.0,0.5507562160491943
1319504_cut.wav,1319504,8,2,1,1,1,154.0,0.5494978427886963
1227104_cut.wav,1227104,8,2,1,1,1,110.0,0.5453901290893555
1281204_cut.wav,1281204,8,2,1,1,1,229.0,0.5542747974395752
3904_cut.wav,3904,8,2,1,1,1,225.0,0.5710980892181396
1110504_cut.wav,1110504,8,2,1,1,1,254.0,0.5628020763397217
1300204_cut.wav,1300204,8,2,1,1,1,173.0,0.5567569732666016
1330504_cut.wav,1330504,8,2,1,1,1,226.0,0.5513560771942139
