Query,Original Query name,dist_freq,dist_time,tol_freq,tol_time,Hit,TP,Time (s)
1121404_cut_coding.wav,1121404,8,2,1,1,1,79.0,0.550360918045044
1247404_cut_coding.wav,1247404,8,2,1,1,1,85.0,0.5543808937072754
1227104_cut_coding.wav,1146204,8,2,1,1,0,97.0,0.5574979782104492
1132204_cut_coding.wav,1132204,8,2,1,1,1,183.0,0.5542721748352051
1042004_cut_coding.wav,1042004,8,2,1,1,1,181.0,0.5476901531219482
1281204_cut_coding.wav,1281204,8,2,1,1,1,173.0,0.5483691692352295
3904_cut_coding.wav,3904,8,2,1,1,1,198.0,0.547194242477417
1300204_cut_coding.wav,1300204,8,2,1,1,1,138.0,0.5457851886749268
390004_cut_coding.wav,390004,8,2,1,1,1,110.0,0.5484731197357178
1110504_cut_coding.wav,1110504,8,2,1,1,1,209.0,0.547680139541626
903604_cut_coding.wav,903604,8,2,1,1,1,159.0,0.5779709815979004
1165404_cut_coding.wav,1165404,8,2,1,1,1,148.0,0.6008269786834717
1009604_cut_coding.wav,1009604,8,2,1,1,1,208.0,0.6118850708007812
1330504_cut_coding.wav,1330504,8,2,1,1,1,209.0,0.5585241317749023
1319504_cut_coding.wav,1319504,8,2,1,1,1,107.0,0.6246907711029053
863504_cut_coding.wav,863504,8,2,1,1,1,160.0,0.7494380474090576
1415804_cut_coding.wav,1415804,8,2,1,1,1,63.0,0.5664329528808594
1270604_cut_coding.wav,1270604,8,2,1,1,1,142.0,0.5626592636108398
1092304_cut_coding.wav,1092304,8,2,1,1,1,172.0,0.5764491558074951
1299504_cut_coding.wav,1299504,8,2,1,1,1,197.0,0.5666148662567139
